[2024-03-15 17:06:31.772702] [p-14404] [t-15020] [info] keyboard-manager logger is initialized
[2024-03-15 17:06:31.820218] [p-14404] [t-15020] [trace] SettingsHelper::LoadSettings()
[2024-03-15 17:19:34.772113] [p-13344] [t-13348] [info] keyboard-manager logger is initialized
[2024-03-15 17:19:34.816552] [p-13344] [t-13348] [trace] SettingsHelper::LoadSettings()
[2024-03-15 17:38:56.599146] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:38:56.781943] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:39:20.555772] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:39:27.695627] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:39:29.181542] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:39:36.537495] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:39:59.377185] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:1
[2024-03-15 17:40:44.657487] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:40:45.376480] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:40:53.256392] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:41:51.596479] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:42:45.574592] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:42:45.974627] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:42:46.700605] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:42:47.578532] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:42:49.688514] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:42:50.190523] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:44:16.935553] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:5
[2024-03-15 17:44:35.454396] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:45:00.715720] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
[2024-03-15 17:45:01.194480] [p-13344] [t-13348] [trace] ChordKeyboardHandler:key_count:4
